name;question;a;b;c;d;answer;type;character
N. Lili;Körülbelül mekkora a kollgium éves költségvetése?;50 millió;5 millió;10 millió;40 millió;a;DB;Conference_woman
Márk;Hány minösített szakkollégium van?;21;34;43;61;c;DB;Samuel
B. Dani;Hogy ösztönözzük a kollégistákat a DB-re járásra?;Pénzzel;Hogy nélkül;Kocsma kuponokkal;Több vitával;b;DB;Roki
Kégl;Kinek a DB titkársága alatt léptek ki a legkevesebben?;Hobot;Endre;Szabó Balázs;Bodor;d;DB;Lucy
Attila;Hány Rajkos volt a FIDESZ alapítók között?;7;4;8;10;a;DB;Pier
Jocó;Melyik szakokat nem támogatja az SZKTP?;BCE PSZ;ELTE Szoc;ELTE Pol;BCE Gazdinfó;b;SZKTP;Adam
Geri;Mennyi volt a valaha legtöbb SZKTP regisztráló?;158;123;97;176;a;SZKTP;Rob
Andor;Melyik médiumban nem volt még hirdetés az SZKTP-röl?;Index;Forbes;Kiskegyed;24.hu;d;SZKTP;Dan
Petra;Hány SZKTP-s kollégista volt 2020-ig?;10;7;14;18;c;SZKTP;Amelia
Kornél;Mikor alakult az SZKTP?;2014;2012;2013;2011;b;SZKTP;Conference_man
Sebi;Melyik SZMT elnök alatt keletkezett a legtöbb NBSZ?;Bakonyi;Szesze;Révész;Vida;a;SZMT;Butcher
Papik;Hány szakmai mühely müködik a kollégiumban?;4;1;3;6;c;SZMT;Molly
Fenyö;Mit kell csinálni a strigulával?;Gyüjteni;Újraírni;Beváltani sörre;Elfogadni;b;SZMT;Bob
Jani;Mi volt SZMT jogelödje?;SZMCS;ZSMT;SZCS;TMT;d;SZMT;Ash
Laufer;Mióta létezik a Riki?;2020;2018;2016;2015;c;SZMT;Bouncer
